Time,2468
Reynolds Number,0.000210020075457,[0 0 0 0 0 0 0]
Fit,5.48883278496,[1 -3 -1 0 0 0 0]
K,2.89163722944e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,4.02692461634e-08,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.0010000000096,[1 -3 0 0 0 0 0]
Macroscale U,(0.0344145003354 -0.00167034481762 0.00223337234693),[0 1 -1 0 0 0 0]
Macroscale p,-903.998787824,[1 -1 -2 0 0 0 0]
Macroscale t,(903.998781781 0.000316759996271 -2.7107396396e-05 0.000316759996271 903.998789948 -2.37965890771e-08 -2.7107396396e-05 -2.37965890771e-08 903.998789926),[1 -1 -2 0 0 0 0]
Macroscale d,(-3.75384626865e-06 0.000158361650072 -1.34880042184e-05 0.000158361650072 -2.20685052799e-08 -9.36808857866e-09 -1.34880042184e-05 -9.36808857866e-09 -2.80755257511e-09),[0 0 -1 0 0 0 0]
Macroscale mu,-903998.779146,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6541152,[0 2 -2 0 0 0 0]
Microscale mass error,2.1782458852e-17,[1 -3 -1 0 0 0 0]
Microscale momentum error,(2.9197028524e-10 1.24336596371e-09 -7.06031585819e-10),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(2.91969781685e-10 1.24336594709e-09 -7.06031579121e-10),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-2.04170281935e-08 8.51343331283e-09 -2.61828015959e-10),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000009418 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(1.06924300023 -0.00220803399143 -0.00190593336581),[1 -2 -2 0 0 0 0]
Macroscale T,(-1.06924302094 0.0022080412615 0.00190593381002),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-1.06903858736 0.00225642719066 0.00192092863269),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.97921138192 0.00235736594214 0.00188175155814),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648310797 5.10804119598e-07 3.92099196839e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095417893 1.79296490295e-06 1.37630076077e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-4.83537854569 0.000225848241985 0.000180295989723),[1 -2 -2 0 0 0 0]
