Time,6608
Reynolds Number,0.420035877157,[0 0 0 0 0 0 0]
Fit,5.05948220982,[1 -3 -1 0 0 0 0]
K,3.13702527648e-05,[0 0 1 0 0 0 0]
TCAT Approx 1,0.220315280467,[1 -1 -3 0 0 0 0]
e_w,0.398393186121,[0 0 0 0 0 0 0]
e_ws,0.593425306375,[0 0 0 0 0 0 0]
sauder mean diameter,6.08272152282,[0 1 0 0 0 0 0]
Domain Volume,7011.17506351,[0 3 0 0 0 0 0]
w_vol,2793.204372,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000066176,[1 -3 0 0 0 0 0]
Macroscale U,(68.8289391964 -3.33966984369 4.45688542011),[0 1 -1 0 0 0 0]
Macroscale p,5617.64255966,[1 -1 -2 0 0 0 0]
Macroscale t,(-5621.8808731 0.777984796082 -0.577888597742 0.777984796082 -5619.04547863 -0.0202387370668 -0.577888597742 -0.0202387370668 -5619.28607177),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.0076565104606 0.315180895313 -0.026021494701 0.315180895313 -4.42478460983e-05 -1.8767114428e-05 -0.026021494701 -1.8767114428e-05 -5.59403762434e-06),[0 0 -1 0 0 0 0]
Macroscale mu,5617638.8421,[0 2 -2 0 0 0 0]
Macroscale psi,-92738.6780714,[0 2 -2 0 0 0 0]
Microscale mass error,4.52720179698e-14,[1 -3 -1 0 0 0 0]
Microscale momentum error,(5.62511497832e-07 2.22426978148e-06 -1.78299886752e-06),[1 -2 -2 0 0 0 0]
Macroscale momentum error,(5.6251155911e-07 2.22426972707e-06 -1.78299888195e-06),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(-0.0836347731031 0.0338275238865 -0.000914224338066),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000649191 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(344.625490491 0.370786590586 -0.0381480831219),[1 -2 -2 0 0 0 0]
Macroscale T,(-344.709125826 -0.336961290969 0.0372356417827),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-344.221875436 -0.272272327582 0.0681189232429),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-351.991670405 0.00235736593394 0.00188175150691),[1 -2 -2 0 0 0 0]
Macroscale ew*rho*grad(potential),(4.64648962342 5.10804119735e-07 3.92099194094e-07),[1 -2 -2 0 0 0 0]
Macroscale Potential Difference,(16.3095646591 1.79296490343e-06 1.37630075113e-06),[1 -2 -2 0 0 0 0]
ew*pw*del(mu): (-352.885283008 0.0156030659295 0.0124549548232),[1 -2 -2 0 0 0 0]
